Temperatura Bulbo Húmedo ValueY;Presión Atmosferica ValueY;T amb ValueY;Potencia TG ValueY
12,30001068;963,888916;14,53559113;13707,09033
12,2000103;963,888916;14,08709335;13717,94775
12,50001144;964,4444702;14,49074173;13706,59707
14,80002022;966,2036743;18,12355423;13467,74082
15,70002365;968,7962891;21,84606552;13327,09209
15,70002365;969,9073486;22,33940887;13220,98848
16,10002518;969,2592529;21,44241714;13231,35195
17,10002899;969,0740479;21,71151733;13224,44307
16,90002823;971,2963257;23,55034637;13130,18369
16,5000267;970,833313;23,90914536;13120,80693
17,40003014;971,0185181;25,79282379;12952,52217
16,60002708;969,9999512;24,67158508;13053,69043
18,10003281;969,9073486;26,55526733;12981,63887
17,50003052;968,9814453;25,61342621;13004,8335
17,10002899;968,6111084;25,16493225;13067,50859
17,00002861;968,055542;24,26794052;13122,78076
16,40002632;967,5926514;22,87760544;13162,26123
16,5000267;967,5926514;21,66666794;13178,54697
15,60002327;967,5926514;20,41088104;13321,16973
15,10002136;966,3888794;19,78298569;13364,10479
14,60001945;965,4629761;18,4375;13437,14336
14,20001793;965,1851929;17,45080948;13453,92256
13,40001488;963,888916;16,50896835;13493,89658
13,90001678;963,888916;16,37442017;13519,55879
13,50001526;962,9630127;15,65682983;13548,18193
13,70001602;963,0555908;15,79137802;13545,2208
13,8000164;963,0555908;15,43258286;13532,38975
14,9000206;964,3518677;17,49565887;13419,37725
14,60001945;966,666687;18,4823494;13361,14385
14,50001907;965,277771;19,6035881;13345,84492
15,30002213;967,9629639;21,12847137;13266,88447
15,50002289;968,9814453;22,69820786;13147,45615
15,70002365;967,4074463;23,81944275;13058,62559
16,60002708;968,4259521;22,92245483;13071,9502
17,10002899;967,5926514;22,20486069;13008,78164
16,70002747;967,5926514;21,93576431;13064,05391
16,10002518;966,4814819;21,53211975;13129,19648
15,00002098;966,2036743;20,67997742;13230,85859
14,30001831;965,277771;19,06539536;13341,40361
13,50001526;964,0740967;17,09201431;13446,52021
12,50001144;963,888916;15,56713104;13578,28574
12,60001183;963,888916;15,52228165;13661,19443
12,90001297;965,0926147;15,70167923;13642,44141
12,40001106;964,7222656;14,71498871;13627,63594
12,60001183;964,9074341;14,71498871;13599,9999
13,40001488;963,4259521;14,58044052;13587,66221
12,90001297;961,5740967;13,86284637;13635,03857
13,20001411;962,5926025;14,22164536;13607,8958
13,00001335;962,5;13,5489006;13592,104
13,00001335;962,9629639;13,45920181;13615,79189
13,20001411;962,6851807;14,13194275;13628,62305
13,00001335;964,6296509;13,77314758;13619,74014
14,10001755;966,0185059;16,46411896;13523,01309
13,50001526;965,7407593;16,37442017;13500,80537
13,60001564;969,1666382;18,07870483;13431,22139
13,50001526;966,2036987;17,89930725;13399,63691
14,10001755;967,5926147;18,57204819;13388,77998
14,00001717;967,037085;19,6484375;13336,46865
14,00001717;966,2962891;18,79629517;13337,94912
14,40001869;967,5926147;20,63512802;13281,68955
14,20001793;966,4814941;20,67997742;13295,01426
14,10001755;965,4629517;20,23147964;13283,17012
14,20001793;965,7407349;19,02054214;13286,62461
14,00001717;965,0000122;18,57204819;13361,14385
14,20001793;965,4629761;18,07870483;13372,00088
13,50001526;966,2037109;16,82291794;13441,0915
13,3000145;966,8518677;16,46411896;13488,46768
12,90001297;966,2036987;15,65682983;13561,50674
13,10001373;965,1852051;15,56713104;13551,14316
