Temperatura ambiente TG ValueY;Temperatura Bulbo Humedo ValueY;Presion Atmosferica ValueY;Potencia TG ValueY
21,98061371;16,90002823;971,3888672;13375,94932
21,35271835;16,70002747;971,6666382;13397,16973
21,21817017;16,90002823;970,5555176;13372,00107
20,9042244;16,70002747;968,7036865;13408,52021
20,45573044;16,60002708;972,1296265;13412,96191
19,82783508;16,40002632;969,5370239;13443,55908
19,82783508;16,20002556;970,7407349;13450,46807
19,78298569;15,80002403;970,3703491;13500,31201
19,33449173;16,10002518;971,0185059;13482,05234
18,30295181;15,60002327;969,3518677;13536,33779
18,07870483;15,60002327;970,4629517;13516,1041
17,80960464;15,40002251;970,0926025;13531,40293
17,85445786;15,50002289;969,9999512;13530,41592
17,1817131;15,10002136;967,0370483;13588,15605
17,40596008;15,30002213;969,3518188;13538,80547
16,91261673;15,10002136;970,833313;13585,68848
17,04716492;15,20002174;970,277771;13574,3377
17,00231552;15,10002136;969,444458;13588,15596
17,1817131;15,20002174;970,3703491;13617,76611
17,49565887;15,40002251;970,8333252;13552,13018
17,63020706;15,50002289;971,5740356;13510,18223
19,82783508;16,70002747;973,8888916;13471,19541
21,53211975;17,40003014;973,7963013;13385,32549
21,53211975;17,6000309;974,1666504;13318,70244
22,78790665;18,10003281;974,8147827;13224,44297
23,2364006;17,80003166;975,7407471;13262,93633
24,17824173;17,70003128;976,2037354;13231,84541
24,85098267;18,00003242;975,8333374;13207,66377
25,12008286;18,20003319;977,4074219;13173,61201
26,51041794;18,80003548;976,6666626;13146,96279
26,60011673;18,90003586;973,7962769;13067,5085
27,31770706;19,30003738;976,388916;13030,98916
28,43894577;19,40003777;977,9629761;13177,56025
28,125;19,10003662;976,0185425;13038,3917
28,84259415;19,00003624;975,8333496;13077,87197
28,61834335;18,7000351;976,9444702;13042,33975
29,2910881;18,80003548;977,3148438;13069,97607
29,2910881;18,20003319;975,8333252;13073,92393
29,3359375;18,60003471;976,4815308;13039,37871
29,47048569;18,60003471;976,2963257;13068,00234
28,66319275;18,30003357;973,9814575;13085,27461
27,27285767;17,90003204;975,3703735;13131,1707
26,42071915;17,6000309;974,2592529;13214,57324
26,19646835;17,6000309;973,888855;13315,24766
23,90914536;17,20002937;973,1481567;13419,8708
22,92245483;16,80002785;973,333313;13425,79287
22,38425827;16,5000267;971,9444336;13481,55889
22,65335464;16,60002708;972,4073975;13488,46797
23,59519577;17,20002937;973,8888672;13436,15645
23,50549698;17,10002899;974,4444214;13435,16934
22,1151619;16,60002708;974,2592773;13493,40283
20,63512802;16,10002518;972,7777588;13559,03906
20,14178085;15,90002441;973,7962891;13551,63682
19,87268448;15,70002365;973,2407227;13607,40273
19,15509415;15,40002251;972,4999878;13593,58457
19,19994354;15,40002251;972,1296021;13579,76621
19,42419052;15,30002213;972,6851929;13611,35078
18,66174698;15,10002136;972,2221924;13664,15576
18,21325302;15,00002098;971,6666382;13639,97393
17,76475525;14,80002022;970,833313;13659,22061
18,03385544;15,00002098;971,1110962;13630,10371
17,54050827;14,80002022;970,6481201;13638,98682
17,45080948;14,9000206;971,2036865;13645,89609
17,45080948;15,00002098;971,3888428;13635,03906
17,45080948;15,20002174;969,8147827;13632,07813
17,94415665;15,60002327;971,2036865;13640,96094
18,03385544;15,70002365;971,0185059;13591,1167
18,30295181;15,70002365;971,2036987;13635,03906
19,11024475;16,30002594;971,7592407;13536,33789
20,23147964;16,80002785;973,1481445;13446,02656
22,74305725;17,40003014;973,7037354;13415,4292
22,78790665;17,40003014;974,6296265;13361,14414
23,37094879;17,50003052;974,9073975;13326,10498
23,86429214;17,80003166;976,3888916;13308,33867
24,04369354;17,80003166;976,9444458;13287,61152
25,07522964;17,90003204;975,3703857;13267,87139
25,52372742;18,00003242;977,6851929;13241,71592
26,46556854;18,7000351;977,0370483;13165,71611
26,8692131;18,20003319;973,1481079;13170,65088
27,76620483;18,10003281;976,5740845;13187,43018
27,99045181;17,70003128;975,3703857;13194,33945
28,48379517;18,40003395;975,9259399;13128,70293
28,57349396;18,7000351;976,1111206;13107,97578
29,2910881;18,50003433;974,166687;13112,91084
29,11169052;18,30003357;975,9259399;13106,00195
29,2910881;18,30003357;973,9814697;13133,63828
28,97714233;17,90003204;974,3518433;13157,82012
29,51533508;18,20003319;975,555542;13153,37842
29,3807869;17,80003166;974,5370239;13193,846
28,0801506;17,40003014;972,407373;13228,88467
26,73466492;17,6000309;970,7407104;13306,36484
24,13339233;17,10002899;972,9629272;13382,85801
23,68489456;16,40002632;973,3332886;13441,58506
22,51880646;16,0000248;971,8518433;13514,62354
21,89091492;15,60002327;972,4074219;13478,10439
21,89091492;15,40002251;971,9444458;13565,45469
22,33940887;15,40002251;974,8147949;13539,29912
22,78790665;16,80002785;972,8703491;13410,49414
22,47395706;16,5000267;971,6666626;13436,65
21,53211975;16,80002785;974,1666748;13438,13037
20,32118225;16,10002518;971,111084;13544,23408
18,93084335;15,20002174;972,4999634;13642,4416
18,66174698;14,9000206;972,1296021;13662,6749
17,58535767;14,60001945;970,7407227;13675,0127
17,09201431;14,40001869;971,6666626;13684,38945
17,2265625;14,60001945;970,2777832;13685,86992
16,82291794;14,60001945;970,0925415;13670,57129
16,91261673;14,20001793;971,0185059;13730,28525
16,50896835;13,90001678;970,555542;13710,54512
18,25810242;13,60001564;969,2592529;13728,31104
16,91261673;13,60001564;970,3703369;13740,64893
16,77806854;12,80001259;969,7222046;13783,58379
15,70167923;11,50000763;970,277771;13928,18076
15,25318146;10,70000458;968,2407593;13977,03779
13,99739456;10,10000229;969,5370361;14046,62178
15,25318146;10,00000191;968,9814941;14029,84268
15,83622742;10,80000496;971,111084;13981,4793
17,76475525;11,80000877;973,3333374;13881,29746
19,51388931;12,80001259;973,5185181;13751,50596
21,66666794;12,2000103;975,4629761;13767,29795
23,77459335;12,40001106;975,8333252;13703,14277
24,67158508;12,90001297;977,6851807;13688,83105
26,15161896;13,10001373;980,3703613;13660,70117
26,9140625;12,30001068;979,5370728;13652,80498
27,81105423;13,3000145;980,2777954;13571,37656
27,99045181;14,10001755;979,2592651;13494,39004
29,02199173;13,60001564;977,1296631;13531,89639
29,47048569;13,40001488;978,3333496;13578,28574
29,73958206;13,60001564;977,314856;13538,31201
29,51533508;13,40001488;976,5740967;13529,92227
31,08506775;14,00001717;977,8703857;13567,42861
30,68142319;13,50001526;977,3148315;13577,79209
30,45717621;13,10001373;977,592627;13573,35049
30,90567017;12,90001297;978,2407593;13607,40215
30,95051956;13,00001335;977,1296631;13599,01299
31,8026619;13,40001488;978,0555786;13593,09053
31,62326431;13,3000145;976,5740845;13602,96074
31,21961975;13,50001526;976,5740967;13642,4415
23,59519577;12,2000103;974,3518188;13714,98672
21,39756775;11,20000648;974,7222412;13841,32344
20,36603165;10,00000191;972,9629517;13923,73936
21,30786896;10,50000381;972,8703369;13875,86904
19,87268448;11,20000648;975,0925903;13878,33652
20,27633286;13,70001602;973,4259277;13671,55811
19,42419052;11,80000877;974,9074219;13849,21982
19,6484375;14,70001984;973,2407104;13664,15576
18,61689758;12,60001183;975;13817,63535
